cumulated temperatures + heat flows
          time (s)             material     1           material     2       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.414000000000000E+06    0.269915978497764E+02    0.137970348376298E+02   -0.435686345333083E+05    0.285993388394341E+05   -0.443522059060525E+05    0.285987485104256E+05
    0.417600000000000E+06    0.269907212724268E+02    0.137966507570255E+02   -0.424727168307196E+05    0.286070148120717E+05   -0.433192674660353E+05    0.286065797614011E+05
    0.421200000000000E+06    0.269898474614833E+02    0.137963068761425E+02   -0.426680058102582E+05    0.286102678158095E+05   -0.435534313467242E+05    0.286099234005121E+05
    0.424800000000000E+06    0.269894115915698E+02    0.137960805609989E+02   -0.410216841231487E+05    0.286129298826055E+05   -0.419744689282458E+05    0.286127321076349E+05
    0.428400000000000E+06    0.269891951101920E+02    0.137959510020877E+02   -0.401837017088200E+05    0.286112779003301E+05   -0.411499220239508E+05    0.286112380616931E+05
    0.432000000000000E+06    0.269891904048890E+02    0.137959119044576E+02   -0.389467703159068E+05    0.286062158067331E+05   -0.388938863741379E+05    0.286061949335378E+05
    0.435600000000000E+06    0.269893143564285E+02    0.137959299995601E+02   -0.383156161438600E+05    0.286011368824789E+05   -0.384956993358541E+05    0.286011432861293E+05
    0.439200000000000E+06    0.269895100799377E+02    0.137959844887851E+02   -0.379329531864052E+05    0.285933152888994E+05   -0.380012054275171E+05    0.285932771628437E+05
    0.442800000000000E+06    0.269901570837468E+02    0.137961562226592E+02   -0.364418786872334E+05    0.285817529314869E+05   -0.373983045340439E+05    0.285821731945287E+05
    0.446400000000000E+06    0.269907859647840E+02    0.137963733182277E+02   -0.363054278822304E+05    0.285677030689959E+05   -0.372225983402017E+05    0.285681914327266E+05
    0.450000000000000E+06    0.269918463286642E+02    0.137967081314160E+02   -0.343018125847991E+05    0.285535536488400E+05   -0.352128372058026E+05    0.285541964319395E+05
    0.453600000000000E+06    0.269929176940538E+02    0.137970900870245E+02   -0.339640296832266E+05    0.285353969605387E+05   -0.347956913323515E+05    0.285361273907414E+05
