cumulated temperatures + heat flows
          time (s)             material     3       flow to boundary     1   flow to boundary     2  flow from boundary     1 flow from boundary     2
    0.630000000000000E+06    0.557219957600602E+02   -0.182250136020076E+05    0.329375044161146E+05   -0.190844609223785E+05    0.329375031984898E+05
    0.633600000000000E+06    0.557293351592831E+02   -0.201469080601503E+05    0.328791322395699E+05   -0.214661578660933E+05    0.328791889283152E+05
    0.637200000000000E+06    0.557341710475180E+02   -0.261366779688436E+05    0.328163946758835E+05   -0.251286439638896E+05    0.328164540800714E+05
    0.640800000000000E+06    0.557413908019494E+02   -0.199674491325970E+05    0.327506905130596E+05   -0.210107616178179E+05    0.327506891789586E+05
    0.644400000000000E+06    0.557495118549551E+02   -0.180307208567889E+05    0.326821274328684E+05   -0.187081597106125E+05    0.326821261391826E+05
    0.648000000000000E+06    0.557625464534627E+02   -0.774906792486254E+04    0.326089393376234E+05   -0.917318031577329E+04    0.326089387126184E+05
    0.651600000000000E+06    0.557753962023563E+02   -0.789767013828622E+04    0.325284356115489E+05   -0.949238647622917E+04    0.325284339276702E+05
    0.655200000000000E+06    0.557864148234091E+02   -0.125025554256980E+05    0.324394377446184E+05   -0.136446540480779E+05    0.324395027262168E+05
    0.658800000000000E+06    0.557990061484677E+02   -0.108077691504216E+05    0.323419998934063E+05   -0.125089613537310E+05    0.323419981986302E+05
    0.662400000000000E+06    0.558094384781727E+02   -0.148833257918178E+05    0.322373414283738E+05   -0.156633253754741E+05    0.322374117580328E+05
    0.666000000000000E+06    0.558195907193543E+02   -0.144900172850014E+05    0.321275699662990E+05   -0.157691874575296E+05    0.321276414412255E+05
    0.669600000000000E+06    0.558276408617922E+02   -0.190688518346922E+05    0.320152924325513E+05   -0.182861362251409E+05    0.320134564245795E+05
    0.673200000000000E+06    0.558365804836456E+02   -0.153727722162719E+05    0.319028124922620E+05   -0.164679721847533E+05    0.319028835026588E+05
    0.676800000000000E+06    0.558436952613921E+02   -0.203573497230332E+05    0.317919741348174E+05   -0.196996262426727E+05    0.317901630275261E+05
    0.680400000000000E+06    0.558473862867075E+02   -0.265023627359883E+05    0.316853004386671E+05   -0.256409005768938E+05    0.316853000834802E+05
    0.684000000000000E+06    0.558364456255276E+02   -0.507014036798243E+05    0.315903664109129E+05   -0.502630025346281E+05    0.315903669532705E+05
    0.687600000000000E+06    0.558196393702348E+02   -0.618730520868180E+05    0.315180599286450E+05   -0.606667880557155E+05    0.315180607592991E+05
    0.691200000000000E+06    0.557956873668973E+02   -0.742561603792718E+05    0.314798950891795E+05   -0.728775160682447E+05    0.314798960336715E+05
    0.694800000000000E+06    0.557695392732129E+02   -0.765713737398610E+05    0.314843158658230E+05   -0.760755638970525E+05    0.314843163885452E+05
    0.698400000000000E+06    0.557465598864588E+02   -0.706753380239744E+05    0.315334343256010E+05   -0.701834766794712E+05    0.315334347478191E+05
    0.702000000000000E+06    0.557347880234047E+02   -0.488442181179131E+05    0.316203671754787E+05   -0.496676371234914E+05    0.316203662371008E+05
    0.705600000000000E+06    0.557301967166707E+02   -0.356795340755494E+05    0.317307651860420E+05   -0.359291270505038E+05    0.317307647947319E+05
    0.709200000000000E+06    0.557239979998428E+02   -0.378419075306655E+05    0.318506840076843E+05   -0.382150751319581E+05    0.318506625857441E+05
    0.712800000000000E+06    0.557213869887523E+02   -0.327215606523377E+05    0.319691714025428E+05   -0.330091142808977E+05    0.319691711147927E+05
